form	lemmaId	lemma	linkType	pos	via	note
kirri	keyrrey.n	keyrrey	phillips	s. f.	kirree	phillips-1610;questionable
kiyrt	keayrt.x	keayrt	phillips	adv.	keayrt	phillips-1610;questionable
klaghyn	clagh.n	clagh	phillips	s. f.	claghyn	phillips-1610;questionable
klast	clasht.v	clasht	phillips	v.	clasht	phillips-1610;questionable
knaid	craid.n	craid	phillips	s. f.	craid	phillips-1610;questionable
knaid	craid.v	craid	phillips	v.	craid	phillips-1610;questionable
kora	coraa.n	coraa	phillips	s. f.	coraa	phillips-1610
korri	corree.n	corree	phillips	s. f.	corree	phillips-1610;questionable
korri	corree.a	corree	phillips	a.	corree	phillips-1610;questionable
kra	craa.v	craa	phillips	v.	craa	phillips-1610;questionable
kre	cre.x	cre	phillips	pro.	cre	phillips-1610;questionable
krinyght	creenaght.n	creenaght	phillips	s. f.	creenaght	phillips-1610;questionable
kwin	cooin.n	cooin	phillips	s.	cooin	phillips-1610;questionable
kwin	cooin.v	cooin	phillips	v.	cooin	phillips-1610;questionable
kwinaghtyn	cooinaghtyn.v	cooinaghtyn	phillips	v.	cooinaghtyn	phillips-1610;questionable
kwini	cooin.n	cooin	phillips	s.	cooinee	phillips-1610;questionable
kwnaynt	conaant.n	conaant	phillips	s. m.	conaant	phillips-1610;questionable
kwnaynt	conaant.v	conaant	phillips	v.	conaant	phillips-1610;questionable
kyns	kys.x	kys	phillips	adv.	kys	phillips-1610
la	laa.n	laa	phillips	s. m.	laa	phillips-1610
labbi	lhiabbee.n	lhiabbee	phillips	s. f.	lhiabbee	phillips-1610;questionable
laidjer	lajer.a	lajer	phillips	a.	lajer	phillips-1610;questionable
lattyssyns	slattys.n	slattys	phillips	s.	lattyssyn	phillips-1610;questionable
lawyn	laue.n	laue	phillips	s. f.	laueyn	phillips-1610
laym	lhiam.x	lhiam	phillips	p.	lhiam	phillips-1610;questionable
leid	lheid.x	lheid	phillips	pro.	lheid	phillips-1610;questionable
liam	lhiam.x	lhiam	phillips	p.	lhiam	phillips-1610;questionable
lianaghtyn	lhiantyn.v	lhiantyn	phillips	v.	lhiantyn	phillips-1610;questionable
lieny	lhieeney.n	lhieeney	phillips	s. m.	lhieeney	phillips-1610;questionable
