form	lemmaId	lemma	linkType	pos	via	note
yabin	jabin.np	Jabin	mutation	np. other	Jabin	generated-lenition
jac	jac.np	Jac	self	np. personal	Jac	
yac	jac.np	Jac	mutation	np. personal	Jac	generated-lenition
jachin	jachin.np	Jachin	self	np. other	Jachin	
yachin	jachin.np	Jachin	mutation	np. other	Jachin	generated-lenition
jack	jack.np	Jack	self	np. personal	Jack	
yack	jack.np	Jack	mutation	np. personal	Jack	generated-lenition
jacko	jacko.np	Jacko	self	np. other	Jacko	
yacko	jacko.np	Jacko	mutation	np. other	Jacko	generated-lenition
jacob	jacob.np	Jacob	self	np. personal	Jacob	
yacob	jacob.np	Jacob	mutation	np. personal	Jacob	generated-lenition
jael	jael.np	Jael	self	np. personal	Jael	
yael	jael.np	Jael	mutation	np. personal	Jael	generated-lenition
jahath	jahath.np	Jahath	self	np. other	Jahath	
yahath	jahath.np	Jahath	mutation	np. other	Jahath	generated-lenition
jahaz	jahaz.np	Jahaz	self	np. other	Jahaz	
yahaz	jahaz.np	Jahaz	mutation	np. other	Jahaz	generated-lenition
jakob	jakob.np	Jakob	self	np. other	Jakob	
yakob	jakob.np	Jakob	mutation	np. other	Jakob	generated-lenition
james	james.np	James	self	np. personal	James	
yames	james.np	James	mutation	np. personal	James	generated-lenition
jamin	jamin.np	Jamin	self	np. other	Jamin	
yamin	jamin.np	Jamin	mutation	np. other	Jamin	generated-lenition
jane	jane.np	Jane	self	np. other	Jane	
yane	jane.np	Jane	mutation	np. other	Jane	generated-lenition
january	january.np	January	self	np. other	January	
yanuary	january.np	January	mutation	np. other	January	generated-lenition
japheth	japheth.np	Japheth	self	np. other	Japheth	
yapheth	japheth.np	Japheth	mutation	np. other	Japheth	generated-lenition
japhia	japhia.np	Japhia	self	np. other	Japhia	
yaphia	japhia.np	Japhia	mutation	np. other	Japhia	generated-lenition
jared	jared.np	Jared	self	np. other	Jared	
yared	jared.np	Jared	mutation	np. other	Jared	generated-lenition
jason	jason.np	Jason	self	np. other	Jason	
yason	jason.np	Jason	mutation	np. other	Jason	generated-lenition
java	java.np	Java	self	np. other	Java	
yava	java.np	Java	mutation	np. other	Java	generated-lenition
javan	javan.np	Javan	self	np. other	Javan	
yavan	javan.np	Javan	mutation	np. other	Javan	generated-lenition
jazer	jazer.np	Jazer	self	np. other	Jazer	
yazer	jazer.np	Jazer	mutation	np. other	Jazer	generated-lenition
