senseId	lemmaId	dict	entryPath	gloss
chay.n#1	chay.n	cregeen	cregeen:yn chay	the quay
chay.n#2	chay.n	cregeen	cregeen:yn chay	the mist or fog
ceabbagh.a#1	ceabbagh.a	cregeen	cregeen:ceabbagh	(or cabbagh, as it is usually sounded), claddy, full of clods, or small masses…
ceabbagh.a#2	ceabbagh.a	cregeen	cregeen:ceabbagh	land is so called the second year after being ploughed,, from lea; perhaps in c…
jeer.v#1	jeer.v	cregeen	cregeen:cha jeer	not dry by fire or heat;
jeer.v#2	jeer.v	cregeen	cregeen:yeer	did straighten;
cheilley.x#1	cheilley.x	cregeen	cregeen:cheilley	‘one another’
cheilley.x#2	cheilley.x	cregeen	cregeen:dy cheilley	together, joined
cheilley.x#3	cheilley.x	cregeen	cregeen:veih my cheilley	asunder
ching.a#1	ching.a	cregeen	cregeen:ro hing	too sick, too ill
ching.a#2	ching.a	cregeen	cregeen:ching	of the head or heads. gour e ching (headlong)
chleayn.n#1	chleayn.n	cregeen	cregeen:e chleayn	his harrows
chleayn.n#2	chleayn.n	cregeen	cregeen:yn chleayn	the allurement or enticement
clein.n#1	clein.n	cregeen	cregeen:clein	See cleaiyn or cleain.
clein.n#2	clein.n	cregeen	cregeen:clein	the clan, the surname
cleragh.n#1	cleragh.n	cregeen	cregeen:cleragh	a clerk.
cleragh.n#2	cleragh.n	cregeen	cregeen:cleragh	a piece put into the chimb of a wooden vessel.
clink.n#1	clink.n	cregeen	cregeen:clink	a curvature;
clink.n#2	clink.n	cregeen	cregeen:clink	a trick;; See clink
comys.n#1	comys.n	cregeen	cregeen:comys	offence, blame;
comys.n#2	comys.n	cregeen	cregeen:comys	the private part;
chomys.n#1	chomys.n	cregeen	cregeen:e chomys	his blame, or guilt
chomys.n#2	chomys.n	cregeen	cregeen:e chomys	his private part
cooin.v#1	cooin.v	cregeen	cregeen:cooin	remember, recollect;
cooin.v#2	cooin.v	cregeen	cregeen:cooin	i. help, aid, assist
chooin.v#1	chooin.v	cregeen	cregeen:chooin	did remember, or recollect;
chooin.v#2	chooin.v	cregeen	cregeen:chooin	helped, did help, aid, or assist
cooineyder.n#1	cooineyder.n	cregeen	cregeen:cooineyder	a rememberer
cooineyder.n#2	cooineyder.n	cregeen	cregeen:cooineyder	a coiner
coon.v#1	coon.v	cregeen	cregeen:coon	narrow;
coon.v#2	coon.v	cregeen	cregeen:coon	help, aid, assist;
corrym.a#1	corrym.a	cregeen	cregeen:corrym	equal, even
corrym.a#2	corrym.a	cregeen	cregeen:corrym	with child.
creagh.n#1	creagh.n	cregeen	cregeen:creagh	a furrow;
creagh.n#2	creagh.n	cregeen	cregeen:creagh	a stack;
chreagh.n#1	chreagh.n	cregeen	cregeen:yn chreagh	the furrow
chreagh.n#2	chreagh.n	cregeen	cregeen:yn chreagh	the stack
creaghey.v#1	creaghey.v	cregeen	cregeen:creaghey	furrowing
creaghey.v#2	creaghey.v	cregeen	cregeen:creaghey	stacking
creaghit.x#1	creaghit.x	cregeen	cregeen:creaghit	furrowed
creaghit.x#2	creaghit.x	cregeen	cregeen:creaghit	stacked
creeney.a#1	creeney.a	cregeen	cregeen:creeney	ripe, withered;
creeney.a#2	creeney.a	cregeen	cregeen:creeney	wise, provident.
cron.n#1	cron.n	cregeen	cregeen:nyn gron	your, &c. nuts
cron.n#2	cron.n	cregeen	cregeen:nyn gron	your, &c. reed
cron.n#3	cron.n	cregeen	cregeen:cron	a scar or cicatrice; a stain;
cronnag.n#1	cronnag.n	cregeen	cregeen:cronnag	a round top on the mast of a vessel, the crosstree;
cronnag.n#2	cronnag.n	cregeen	cregeen:cronnag	a rock that can be seen before low water;
croe.n#1	croe.n	cregeen	cregeen:croe	a coop
croe.n#2	croe.n	cregeen	cregeen:croe	an iron to put under a pot or griddle on the fire
cronney.n#1	cronney.n	cregeen	cregeen:cronney	portion, fate, destiny
cronney.n#2	cronney.n	cregeen	cregeen:nyn gronney	your, &c. portion, share, allotted share
croo.v#1	croo.v	cregeen	cregeen:croo	create;
croo.v#2	croo.v	cregeen	cregeen:croo	crawling in grubs, maggots, or vermin
cruittid.n#1	cruittid.n	cregeen	cregeen:cruittid	humpishness
cruittid.n#2	cruittid.n	cregeen	cregeen:nyn gruittid	your, &c. crookedness
cuirrit.x#1	cuirrit.x	cregeen	cregeen:cuirrit	bidden, invited
cuirrit.x#2	cuirrit.x	cregeen	cregeen:cuirrit	sown
guirr.v#1	guirr.v	cregeen	cregeen:nyn guirr	your sowing
guirr.v#2	guirr.v	cregeen	cregeen:guirr	hatch, hatching, &c.;
cullee.n#1	cullee.n	cregeen	cregeen:cullee	a colour or banner
cullee.n#2	cullee.n	cregeen	cregeen:cullee	the aspect of the air
cullee.n#3	cullee.n	cregeen	cregeen:cullee	the tackle, furniture, or apparatus to work any thing, as a mill, ship, boat, &c
chullee.n#1	chullee.n	cregeen	cregeen:yn chullee	the colour
chullee.n#2	chullee.n	cregeen	cregeen:yn chullee	the aspect
cummee.a#1	cummee.a	cregeen	cregeen:cummee	of holding
cummee.a#2	cummee.a	cregeen	cregeen:cummee	of form or shape
cummit.x#1	cummit.x	cregeen	cregeen:cummit	held, stopt
cummit.x#2	cummit.x	cregeen	cregeen:cummit	formed, modelled, hewn;
cummeyder.n#1	cummeyder.n	cregeen	cregeen:cummeyder	a holder
cummeyder.n#2	cummeyder.n	cregeen	cregeen:cummeyder	a former
currag.n#1	currag.n	cregeen	cregeen:currag	a bundle of osiers
currag.n#2	currag.n	cregeen	cregeen:nyn gurrag	your, &c. See currag
cushag.n#1	cushag.n	cregeen	cregeen:cushag	ragwort or ragweed. The stem or stalk is called dog's standard; the herb is als…
cushag.n#2	cushag.n	cregeen	cregeen:nyn gushag	your, &c
custhee.a#1	custhee.a	cregeen	cregeen:custhee	whip, beat with a rod;
custhee.a#2	custhee.a	cregeen	cregeen:custhee	of whipping or whippings
daah.v#1	daah.v	cregeen	cregeen:ghaah	dyed, did dye;
daah.v#2	daah.v	cregeen	cregeen:ghaah	singed, did singe;
daaghey.v#1	daaghey.v	cregeen	cregeen:daaghey	dying, colouring
daaghey.v#2	daaghey.v	cregeen	cregeen:nyn daaghey	your, &c. frequenting;
daahder.n#1	daahder.n	cregeen	cregeen:daahder	a dyer
daahder.n#2	daahder.n	cregeen	cregeen:daahder	one that singes
