form	headword	listId	gloss	binomial	note
hollyn	Hollyn	morrison-plants	Holly	Ilex aquifolium	
ullaagagh	Ullaagagh	morrison-plants	Honeysuckle	Lonicera periclymenum	
ob	Ob	morrison-plants	Hops	Humulus lupulus	
nep	Nep	morrison-plants	Horehound	Marrubium vulgare	
lus y thie	Lus y thie	morrison-plants	House leek	Sempervivum tectorum	
lusythie	Lus y thie	morrison-plants	House leek	Sempervivum tectorum	
gleik muck	Gleik-muck	morrison-plants	Hyacinth (wild)	Scilla nutans	
gleikmuck	Gleik-muck	morrison-plants	Hyacinth (wild)	Scilla nutans	
blaa muck	Blaa muck	morrison-plants	Hyacinth (wild)	Scilla nutans	
blaamuck	Blaa muck	morrison-plants	Hyacinth (wild)	Scilla nutans	
hibbin	Hibbin	morrison-plants	Ivy	Hedera helix	
lus y cramman doo	Lus-y-cramman doo	morrison-plants	Knapweed	Centaurea nigra	
lusycrammandoo	Lus-y-cramman doo	morrison-plants	Knapweed	Centaurea nigra	
lhuss	Lhuss	morrison-plants	Leek	Allium porrum	
scriss nygreg	Scriss-nygreg	morrison-plants	Lichen family		
scrissnygreg	Scriss-nygreg	morrison-plants	Lichen family		
conney freoagh	Conney-freoagh	morrison-plants	Ling	Calluna vulgaris	
conneyfreoagh	Conney-freoagh	morrison-plants	Ling	Calluna vulgaris	
freoaghane	Freoaghane	morrison-plants	Ling berry (Crowberry)	Empetrum nigrum	
lus yn aane	Lus-yn-aane	morrison-plants	Liverwort	Marchantia polymorpha	
lusynaane	Lus-yn-aane	morrison-plants	Liverwort	Marchantia polymorpha	
lus y voidyn	Lus-y-voidyn	morrison-plants	Maiden-hair fern	Adiantum capillus-veneris	
lusyvoidyn	Lus-y-voidyn	morrison-plants	Maiden-hair fern	Adiantum capillus-veneris	
rhennagh woirrey	Rhennagh-woirrey	morrison-plants	Male fern	lastea filix mas	
rhennaghwoirrey	Rhennagh-woirrey	morrison-plants	Male fern	lastea filix mas	
jeetdrym jeeas	Jeetdrym jeeas	morrison-plants	Mare’s tail	Hippuris vulgaris	
jeetdrymjeeas	Jeetdrym jeeas	morrison-plants	Mare’s tail	Hippuris vulgaris	
lus ny moal moirrey	Lus ny-moal Moirrey	morrison-plants	Marsh mallow	Malva sylvestris	
lusnymoalmoirrey	Lus ny-moal Moirrey	morrison-plants	Marsh mallow	Malva sylvestris	
blughtyn	Blughtyn	morrison-plants	Marsh marigolds	Caltha palustris	
ouw	Ouw	morrison-plants	Marsh pennywort	Hydrocotyle vulgaris	
onnane lheannagh	Onnane lheannagh	morrison-plants	Marsh thistle	Cnicus palustris	
onnanelheannagh	Onnane lheannagh	morrison-plants	Marsh thistle	Cnicus palustris	
lus millish ny lheannagh	Lus millish ny lheannagh	morrison-plants	Meadow sweet	Spiraea ulmaria	
lusmillishnylheannagh	Lus millish ny lheannagh	morrison-plants	Meadow sweet	Spiraea ulmaria	
mynthey jiarg	Mynthey-jiarg	morrison-plants	Mint (water)	Mentha aquatica	
myntheyjiarg	Mynthey-jiarg	morrison-plants	Mint (water)	Mentha aquatica	
lus luna	Lus luna	morrison-plants	Moonwort	Botrychium lunaria	
lusluna	Lus luna	morrison-plants	Moonwort	Botrychium lunaria	
cleaysh lugh	Cleaysh lugh	morrison-plants	Moue ear chickweed	Cerastium	the page prints 'Moue ear chickweed'; read 'Mouse-ear chickweed'
cleayshlugh	Cleaysh lugh	morrison-plants	Moue ear chickweed	Cerastium	the page prints 'Moue ear chickweed'; read 'Mouse-ear chickweed'
keynnagh	Keynnagh	morrison-plants	Moss family		
bollan feal eoin	Bollan-feal-Eoin	morrison-plants	Mugwort	Artemisia vulgaris	
bollanfealeoin	Bollan-feal-Eoin	morrison-plants	Mugwort	Artemisia vulgaris	
bollan bane	Bollan-bane	morrison-plants	Mugwort	Artemisia vulgaris	
bollanbane	Bollan-bane	morrison-plants	Mugwort	Artemisia vulgaris	
shalmane	Shalmane	morrison-plants	Mushroom	Agaricus	
brashlagh	Brashlagh	morrison-plants	Mustard (wild)	Brassica sinapis	
undaagagh	Undaagagh	morrison-plants	Nettle	Urtica divica	
bolan y chee	Bolan-y-chee	morrison-plants	Nipplewort	Lapsana communis	
bolanychee	Bolan-y-chee	morrison-plants	Nipplewort	Lapsana communis	
darragh	Darragh	morrison-plants	Oak	Quercus robur	
plaggad	Plaggad	morrison-plants	Oats	Avena	
corkey	Corkey	morrison-plants	Oat grain		
unnish	Unnish	morrison-plants	Onion	Allium cepa	
bastag bane	Bastag bane	morrison-plants	Oxe-eye daisy	Chrysanthemum leucanthemum	
bastagbane	Bastag bane	morrison-plants	Oxe-eye daisy	Chrysanthemum leucanthemum	
pieannit	Pieannit	morrison-plants	Pæony [Peony]	Pæonia officinalis	
blaa villish	Blaa villish	morrison-plants	Pansy (field)	Viola tricolor	
blaavillish	Blaa villish	morrison-plants	Pansy (field)	Viola tricolor	
pesmad	Pesmad	morrison-plants	Parsnip	Pastinaca sativa	
pishyr	Pishyr	morrison-plants	Pea		
lurgeydish	Lurgeydish	morrison-plants	Pennyroyal	Mentha pulegium	
