senseId	lemmaId	dict	entryPath	gloss
erin.n#2	erin.n	cregeen	cregeen:erin	vestry;
faarkey.n#1	faarkey.n	cregeen	cregeen:nyn vaarkey	your, &c. bathing
faarkey.n#2	faarkey.n	cregeen	cregeen:faarkey	the sea, and sometimes a billow or great wave;
faill.v#1	faill.v	cregeen	cregeen:daill	did fail, failed
faill.v#2	faill.v	cregeen	cregeen:faill	hire, engage for wages;
n'aill.v#1	n'aill.v	cregeen	cregeen:cha n'aill	not fail;
n'aill.v#2	n'aill.v	cregeen	cregeen:cha n'aill	not hire;
famlagh.v#1	famlagh.v	cregeen	cregeen:dy amlagh	to manure with sea weed
famlagh.v#2	famlagh.v	cregeen	cregeen:er vamlagh	hath, &c. wracked
farbagh.v#1	farbagh.v	cregeen	cregeen:er varbagh	hath, &c. fretted; as a sore
farbagh.v#2	farbagh.v	cregeen	cregeen:dy arbagh	to fret, rankle or corrode
foalley.a#1	foalley.a	cregeen	cregeen:foalley	of the flesh
foalley.a#2	foalley.a	cregeen	cregeen:foalley	carnal, lustful, sensual, corporal
ferish.n#1	ferish.n	cregeen	cregeen:ferish	a fairy;
ferish.n#2	ferish.n	cregeen	cregeen:ferish	a hand steel to strike fire with a flint;
gart.n#1	gart.n	cregeen	cregeen:gart	the last reaper on the standing corn side of a company of reapers in a field
gart.n#2	gart.n	cregeen	cregeen:nyn gart	your, &c. cart;
geill.n#1	geill.n	cregeen	cregeen:geill	a spring of water;
geill.n#2	geill.n	cregeen	cregeen:geill	heed, notice
geill.v#1	geill.v	cregeen	cregeen:geill	spring;
geill.v#2	geill.v	cregeen	cregeen:cha geill	not conceal or hide;
giall.v#1	giall.v	cregeen	cregeen:giall	whiten, or make white or bright, bleach or full;
giall.v#2	giall.v	cregeen	cregeen:giall	promise, grant;
ghiall.v#1	ghiall.v	cregeen	cregeen:ghiall	did bleach, cleanse, or full
ghiall.v#2	ghiall.v	cregeen	cregeen:ghiall	did promise or grant;
gial.v#1	gial.v	cregeen	cregeen:yial	did bleach, whiten, or make bright;
gial.v#2	gial.v	cregeen	cregeen:yial	did promise or grant;
giallit.x#1	giallit.x	cregeen	cregeen:giallit	bleached, whitened, fulled
giallit.x#2	giallit.x	cregeen	cregeen:giallit	promised, granted
ghiallit.x#1	ghiallit.x	cregeen	cregeen:ro ghiallit	too bleached
ghiallit.x#2	ghiallit.x	cregeen	cregeen:ro ghiallit	too promised or granted
giallit.a#1	giallit.a	cregeen	cregeen:ro yiallit	too bleached or whitened
giallit.a#2	giallit.a	cregeen	cregeen:ro yiallit	too promised or granted
gialleyder.n#1	gialleyder.n	cregeen	cregeen:gialleyder	& bleacher, a fuller, one that whitens
gialleyder.n#2	gialleyder.n	cregeen	cregeen:yn yialleyder	the promiser or granter
glioonagh.n#1	glioonagh.n	cregeen	cregeen:glioonagh	a disease in the knees;
